site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|21|266301|LGWR|237500|.0275|0|3469375000|546.478125|493656.25|1192581.25|.25|31-OCT-14 08.00.00.000000 AM
37|1|21|266299|Smart Scan|84473750000|128.088125|6171824.9583125|0|0|0|0||31-OCT-14 08.00.00.000000 AM
37|1|21|266304|TOTAL|187948125000|10375.88625|9094744.2759375|10294375000|1239.109375|1464512.5|6075625|.350625|31-OCT-14 08.00.00.000000 AM
37|1|21|266300|DBWR|12500|.00375|0|4570000000|656.254375|650243.75|28.6875|.373125|31-OCT-14 08.00.00.000000 AM
37|1|19|266303|Streams AQ|371428.571428571428571428571428571428571|.062142857142857142857142857142857142857|42.8571428571428571428571428571428571429|0|0|0|454.714285714285714285714285714285714286|5.22|29-OCT-14 08.00.00.000000 AM
37|1|19|266297|Direct Reads|28816250000|384.775|4102368.75|9793750|1.44|1356.25|137.5|1.039375|29-OCT-14 08.00.00.000000 AM
37|1|19|266296|Buffer Cache Reads|81499375000|9999.631875|116.02325|0|0|0|6061250|.380625|29-OCT-14 08.00.00.000000 AM
37|1|19|266300|DBWR|12500|.001875|0|5218125000|738.635|743025|24.5625|.270625|29-OCT-14 08.00.00.000000 AM
37|1|19|266304|TOTAL|198750000000|10566.163125|1094589.5968125|11450000000|1381.2375|1630093.75|6207500|.38|29-OCT-14 08.00.00.000000 AM
37|1|19|266299|Smart Scan|84316875000|127.176875|258645.8885625|0|0|0|0||29-OCT-14 08.00.00.000000 AM
37|1|19|266298|Others|5197500000|53.165|739787.5|1962500000|12.615625|279406.25|157481.25|1.19375|29-OCT-14 08.00.00.000000 AM
37|1|19|266301|LGWR|275000|.03|0|3775625000|611.048125|537506.25|1304143.75|.29125|29-OCT-14 08.00.00.000000 AM
37|1|19|266302|Direct Writes|86018750|1.32625|12025|481875000|17.5|68775|15.1875|3.99125|29-OCT-14 08.00.00.000000 AM
37|1|18|266300|DBWR|25000|.00375|0|5285625000|747.855625|751331.25|39.125|.87125|28-OCT-14 08.00.00.000000 AM
37|1|18|266297|Direct Reads|22733750000|370.748125|3231868.75|10887500|1.486875|1500|139.5|1.545625|28-OCT-14 08.00.00.000000 AM
37|1|18|266298|Others|4893125000|50.531875|695631.25|1916875000|12.64125|272731.25|145306.25|1.356875|28-OCT-14 08.00.00.000000 AM
37|1|18|266301|LGWR|275000|.03|0|3711250000|589.644375|527475|1247687.5|.32875|28-OCT-14 08.00.00.000000 AM
37|1|18|266302|Direct Writes|91043750|1.3475|12712.5|476250000|21.23625|67631.25|70.5|2.20875|28-OCT-14 08.00.00.000000 AM
37|1|18|266296|Buffer Cache Reads|84628750000|10666.36|120.308|0|0|0|6678125|.3925|28-OCT-14 08.00.00.000000 AM
37|1|18|266303|Streams AQ|293333.333333333333333333333333333333333|.052|40|0|0|0|383.6|6.512|28-OCT-14 08.00.00.000000 AM
37|1|18|266299|Smart Scan|84225000000|126.410625|245232.9085|0|0|0|0||28-OCT-14 08.00.00.000000 AM
37|1|18|266304|TOTAL|194421875000|11215.4825|895398.619125|11401250000|1372.8625|1620681.25|6818125|.39375|28-OCT-14 08.00.00.000000 AM
37|1|20|266296|Buffer Cache Reads|88446250000|10609.87875|1632046.8644375|0|0|0|6361250|.3975|30-OCT-14 08.00.00.000000 AM
37|1|20|266302|Direct Writes|72931250|1.439375|10125|465000000|18.349375|66143.75|22.8125|1.129375|30-OCT-14 08.00.00.000000 AM
37|1|20|266304|TOTAL|195625000000|11179.623125|9303129.243875|11574375000|1381.225625|1644756.25|6500625|.3975|30-OCT-14 08.00.00.000000 AM
37|1|20|266299|Smart Scan|84869375000|126.896875|248083.3505625|0|0|0|0||30-OCT-14 08.00.00.000000 AM
37|1|20|266300|DBWR|18750|.001875|0|5346875000|763.371875|759812.5|27.6875|.4875|30-OCT-14 08.00.00.000000 AM
37|1|20|266301|LGWR|268750|.03|0|3762500000|585.491875|534687.5|1239893.75|.325625|30-OCT-14 08.00.00.000000 AM
37|1|20|266297|Direct Reads|19400625000|373.016875|2756881.25|9650000|1.425625|1343.75|130.625|1.360625|30-OCT-14 08.00.00.000000 AM
37|1|20|266298|Others|5691250000|68.264375|808812.5|1989375000|12.588125|282781.25|156850|1.275|30-OCT-14 08.00.00.000000 AM
