site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|31|266688|PL/SQL|2994.730625|132.808125|3.435625|872.125|870.125|17-NOV-14 08.00.00.000000 AM
37|1|31|266687|Other|22729.303125||26.070625|872.125|872.125|17-NOV-14 08.00.00.000000 AM
37|1|31|266691|SQL|415.621875|38.824375|.51125|814|801.875|17-NOV-14 08.00.00.000000 AM
37|1|35|266687|Other|25336.43125||30.6875|825.75|825.75|21-NOV-14 08.00.00.000000 AM
37|1|35|266688|PL/SQL|3270.54375|35.80375|3.96125|825.75|825.75|21-NOV-14 08.00.00.000000 AM
37|1|35|266690|JAVA|1152.525|1065.6|3.554375|324.25|324.25|21-NOV-14 08.00.00.000000 AM
37|1|35|266691|SQL|427.520625|33.4075|.5575|767.75|758.0625|21-NOV-14 08.00.00.000000 AM
37|1|35|266689|Freeable|2310.019375|0|3.03375|761.4375|761.4375|21-NOV-14 08.00.00.000000 AM
37|1|36|266691|SQL|398.035|40.48|.50125|793.625|782.875|24-NOV-14 08.00.00.000000 AM
37|1|36|266688|PL/SQL|2962.82625|130.62125|3.48|851.6875|851.1875|24-NOV-14 08.00.00.000000 AM
37|1|36|266690|JAVA|1004.235|974.72625|3.283125|305.875|305.875|24-NOV-14 08.00.00.000000 AM
37|1|36|266687|Other|22260.438125||26.141875|851.6875|851.6875|24-NOV-14 08.00.00.000000 AM
37|1|36|266689|Freeable|2198.786875|0|2.919375|753.125|753.125|24-NOV-14 08.00.00.000000 AM
37|1|32|266689|Freeable|2167.191875|0|2.8625|757.25|757.25|18-NOV-14 08.00.00.000000 AM
37|1|32|266690|JAVA|1066.295|1028.085625|3.39375|314.0625|314.0625|18-NOV-14 08.00.00.000000 AM
37|1|32|266687|Other|23693.105||28.34125|836.1875|836.1875|18-NOV-14 08.00.00.000000 AM
37|1|32|266688|PL/SQL|3143.42|41.64125|3.761875|836.1875|835.3125|18-NOV-14 08.00.00.000000 AM
37|1|32|266691|SQL|437.58375|35.963125|.563125|778.3125|767.8125|18-NOV-14 08.00.00.000000 AM
37|1|33|266688|PL/SQL|3207.3175|36.46375|3.955|811.25|810.25|19-NOV-14 08.00.00.000000 AM
37|1|33|266691|SQL|430.794375|30.139375|.571875|753.375|742.625|19-NOV-14 08.00.00.000000 AM
37|1|33|266689|Freeable|2203.01625|0|2.96125|744.0625|744.0625|19-NOV-14 08.00.00.000000 AM
37|1|33|266690|JAVA|1098.574375|1044.796875|3.4625|317.375|317.375|19-NOV-14 08.00.00.000000 AM
37|1|33|266687|Other|24477.7725||30.1825|811.25|811.25|19-NOV-14 08.00.00.000000 AM
37|1|34|266688|PL/SQL|3254.87125|38.01625|3.89375|836.1875|835.875|20-NOV-14 08.00.00.000000 AM
37|1|34|266687|Other|25287.74||30.24875|836.1875|836.1875|20-NOV-14 08.00.00.000000 AM
