site_id|config_id|run_id|stat_id|stat_name|stat_ges_lock_req|stat_ges_pin_req|stat_ges_pin_rel|stat_ges_inval_req|stat_ges_invalid|start_time
37|1|19|266295|TABLE/PROCEDURE|239213|333123|333123|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|269057|HINTSET OBJECT|20|20|20|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266292|INDEX|45049|45049|45049|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|267335|BODY|0|21475187|21475187|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|267920|SUBSCRIPTION|0|192|192|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266294|SUMMARY|32155|32155|32155|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|267310|CLUSTER|8|8|8|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266291|ACCOUNT_STATUS|20337|0|0|0|0|29-OCT-14 08.00.00.000000 AM
37|1|18|266294|SUMMARY|30059|30059|30059|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|267335|BODY|0|21034374|21034374|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|267310|CLUSTER|8|8|8|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266292|INDEX|40435|40433|40433|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266295|TABLE/PROCEDURE|239713|327342|327342|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266291|ACCOUNT_STATUS|20732|0|0|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|266293|QUEUE|1068|17146|17146|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|269373|TRIGGER|0|379|379|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|267920|SUBSCRIPTION|0|192|192|0|0|28-OCT-14 08.00.00.000000 AM
37|1|20|267335|BODY|0|21266077|21266077|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|267919|LOCATION|14|56|56|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|267920|SUBSCRIPTION|0|610|610|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266291|ACCOUNT_STATUS|28083|0|0|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266292|INDEX|34809|34809|34809|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266293|QUEUE|1059|17804|17804|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|269373|TRIGGER|0|516|516|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|267310|CLUSTER|6|6|6|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266295|TABLE/PROCEDURE|221085|300856|300856|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|266294|SUMMARY|28990|28990|28990|0|0|30-OCT-14 08.00.00.000000 AM
37|1|26|267310|CLUSTER|8|8|8|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|267335|BODY|0|21728478|21728478|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266291|ACCOUNT_STATUS|19605|0|0|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266293|QUEUE|1066|17411|17411|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|269373|TRIGGER|0|559|559|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266292|INDEX|30738|30739|30739|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266294|SUMMARY|25430|25430|25430|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|266295|TABLE/PROCEDURE|184524|257335|257335|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|267919|LOCATION|16|64|64|0|0|10-NOV-14 08.00.00.000000 AM
37|1|26|267920|SUBSCRIPTION|0|334|334|0|0|10-NOV-14 08.00.00.000000 AM
37|1|23|266291|ACCOUNT_STATUS|21020|0|0|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266294|SUMMARY|26078|26078|26078|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266295|TABLE/PROCEDURE|182864|254736|254736|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|267310|CLUSTER|2|2|2|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|267335|BODY|0|21193138|21193138|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|267920|SUBSCRIPTION|0|136|136|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266292|INDEX|27291|27293|27293|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|269373|TRIGGER|0|526|526|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|266293|QUEUE|996|16952|16952|0|0|04-NOV-14 08.00.00.000000 AM
37|1|24|266292|INDEX|32835|32834|32834|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|267335|BODY|0|21516681|21516681|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266295|TABLE/PROCEDURE|195949|271183|271183|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266291|ACCOUNT_STATUS|5752|0|0|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|269373|TRIGGER|0|500|500|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|269057|HINTSET OBJECT|10|10|10|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266293|QUEUE|941|16484|16484|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|266294|SUMMARY|25994|25994|25994|0|0|05-NOV-14 08.00.00.000000 AM
37|1|25|266291|ACCOUNT_STATUS|20811|0|0|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|267310|CLUSTER|10|10|10|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266295|TABLE/PROCEDURE|198329|272924|272924|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266294|SUMMARY|26020|26020|26020|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|267335|BODY|0|21694372|21694372|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266293|QUEUE|979|16555|16555|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|266292|INDEX|31530|31530|31530|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|269373|TRIGGER|0|546|546|0|0|06-NOV-14 08.00.00.000000 AM
37|1|27|266294|SUMMARY|24091|24091|24091|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|267310|CLUSTER|5|5|5|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266291|ACCOUNT_STATUS|21326|0|0|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266295|TABLE/PROCEDURE|177993|247460|247460|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|269373|TRIGGER|0|403|403|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|267335|BODY|0|20855560|20855560|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266292|INDEX|27602|27600|27600|0|0|11-NOV-14 08.00.00.000000 AM
37|1|27|266293|QUEUE|941|16497|16497|0|0|11-NOV-14 08.00.00.000000 AM
37|1|28|267310|CLUSTER|7|7|7|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|269373|TRIGGER|0|645|645|0|0|12-NOV-14 08.00.00.000000 AM
