site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_trans|start_time
37|1|38|266336|DBWR Fusion writes|118.62|.38|26-NOV-14 08.00.00.000000 AM
37|1|38|266337|Estd Interconnect traffic (KB)|93697.38||26-NOV-14 08.00.00.000000 AM
37|1|39|266335|GCS/GES messages sent|21954.87|102.74|27-NOV-14 08.00.00.000000 AM
37|1|39|266332|Global Cache blocks received|2995.74|14.01|27-NOV-14 08.00.00.000000 AM
37|1|39|266337|Estd Interconnect traffic (KB)|56511.96||27-NOV-14 08.00.00.000000 AM
37|1|39|266333|Global Cache blocks served|2995.99|14.02|27-NOV-14 08.00.00.000000 AM
37|1|39|266334|GCS/GES messages received|21965.22|102.74|27-NOV-14 08.00.00.000000 AM
37|1|39|266336|DBWR Fusion writes|70.54|.33|27-NOV-14 08.00.00.000000 AM
37|1|43|266335|GCS/GES messages sent|35028.01|111.87|05-DEC-14 08.00.00.000000 AM
37|1|43|266332|Global Cache blocks received|5222.03|16.68|05-DEC-14 08.00.00.000000 AM
37|1|43|266333|Global Cache blocks served|5222.16|16.68|05-DEC-14 08.00.00.000000 AM
37|1|43|266334|GCS/GES messages received|35039.77|111.91|05-DEC-14 08.00.00.000000 AM
37|1|43|266337|Estd Interconnect traffic (KB)|97238.63||05-DEC-14 08.00.00.000000 AM
37|1|43|266336|DBWR Fusion writes|115.39|.37|05-DEC-14 08.00.00.000000 AM
37|1|44|266332|Global Cache blocks received|5576.28|16.27|08-DEC-14 08.00.00.000000 AM
37|1|44|266337|Estd Interconnect traffic (KB)|103960.22||08-DEC-14 08.00.00.000000 AM
37|1|44|266334|GCS/GES messages received|37737.23|110.12|08-DEC-14 08.00.00.000000 AM
37|1|44|266336|DBWR Fusion writes|132.94|.39|08-DEC-14 08.00.00.000000 AM
37|1|44|266335|GCS/GES messages sent|37725.46|110.1|08-DEC-14 08.00.00.000000 AM
37|1|44|266333|Global Cache blocks served|5576.4|16.27|08-DEC-14 08.00.00.000000 AM
37|1|41|266335|GCS/GES messages sent|37223.08|113.55|03-DEC-14 08.00.00.000000 AM
37|1|41|266336|DBWR Fusion writes|124.21|.38|03-DEC-14 08.00.00.000000 AM
37|1|41|266334|GCS/GES messages received|37231.89|113.56|03-DEC-14 08.00.00.000000 AM
37|1|41|266332|Global Cache blocks received|5720.69|17.45|03-DEC-14 08.00.00.000000 AM
37|1|41|266333|Global Cache blocks served|5719.96|17.45|03-DEC-14 08.00.00.000000 AM
37|1|41|266337|Estd Interconnect traffic (KB)|106067.2||03-DEC-14 08.00.00.000000 AM
37|1|42|266334|GCS/GES messages received|38476.95|113.89|04-DEC-14 08.00.00.000000 AM
37|1|42|266337|Estd Interconnect traffic (KB)|107734.54||04-DEC-14 08.00.00.000000 AM
37|1|42|266333|Global Cache blocks served|5794.11|17.15|04-DEC-14 08.00.00.000000 AM
37|1|42|266332|Global Cache blocks received|5794.19|17.14|04-DEC-14 08.00.00.000000 AM
37|1|42|266335|GCS/GES messages sent|38467.26|113.84|04-DEC-14 08.00.00.000000 AM
37|1|42|266336|DBWR Fusion writes|128.13|.38|04-DEC-14 08.00.00.000000 AM
37|1|40|266332|Global Cache blocks received|5896.57|17.47|02-DEC-14 08.00.00.000000 AM
37|1|40|266333|Global Cache blocks served|5896.27|17.47|02-DEC-14 08.00.00.000000 AM
37|1|40|266335|GCS/GES messages sent|39266.01|116.33|02-DEC-14 08.00.00.000000 AM
37|1|40|266337|Estd Interconnect traffic (KB)|109682.65||02-DEC-14 08.00.00.000000 AM
37|1|40|266336|DBWR Fusion writes|129.05|.38|02-DEC-14 08.00.00.000000 AM
37|1|40|266334|GCS/GES messages received|39274.5|116.36|02-DEC-14 08.00.00.000000 AM
37|1|47|266332|Global Cache blocks received|4982.32|16.49|12-DEC-14 08.00.00.000000 AM
37|1|47|266334|GCS/GES messages received|34009.32|112.57|12-DEC-14 08.00.00.000000 AM
37|1|47|266337|Estd Interconnect traffic (KB)|93001.56||12-DEC-14 08.00.00.000000 AM
37|1|47|266333|Global Cache blocks served|4982.54|16.5|12-DEC-14 08.00.00.000000 AM
37|1|47|266336|DBWR Fusion writes|112.79|.37|12-DEC-14 08.00.00.000000 AM
37|1|47|266335|GCS/GES messages sent|33997.87|112.51|12-DEC-14 08.00.00.000000 AM
37|1|45|266332|Global Cache blocks received|5403.15|16.44|09-DEC-14 08.00.00.000000 AM
37|1|45|266336|DBWR Fusion writes|126.97|.39|09-DEC-14 08.00.00.000000 AM
37|1|45|266333|Global Cache blocks served|5403.27|16.44|09-DEC-14 08.00.00.000000 AM
37|1|45|266335|GCS/GES messages sent|36061.05|109.75|09-DEC-14 08.00.00.000000 AM
37|1|45|266334|GCS/GES messages received|36073.89|109.77|09-DEC-14 08.00.00.000000 AM
37|1|45|266337|Estd Interconnect traffic (KB)|100540.27||09-DEC-14 08.00.00.000000 AM
37|1|48|266334|GCS/GES messages received|38805.47|110.61|15-DEC-14 08.00.00.000000 AM
37|1|48|266332|Global Cache blocks received|5886.38|16.78|15-DEC-14 08.00.00.000000 AM
37|1|48|266333|Global Cache blocks served|5885.87|16.79|15-DEC-14 08.00.00.000000 AM
37|1|48|266335|GCS/GES messages sent|38797.34|110.58|15-DEC-14 08.00.00.000000 AM
37|1|48|266336|DBWR Fusion writes|130.82|.37|15-DEC-14 08.00.00.000000 AM
37|1|48|266337|Estd Interconnect traffic (KB)|109334.84||15-DEC-14 08.00.00.000000 AM
37|1|46|266332|Global Cache blocks received|5490.04|16.58|11-DEC-14 08.00.00.000000 AM
37|1|46|266335|GCS/GES messages sent|37106.94|112.05|11-DEC-14 08.00.00.000000 AM
37|1|46|266334|GCS/GES messages received|37119.56|112.05|11-DEC-14 08.00.00.000000 AM
