site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|12|266029|VM_IN_BYTES|108544||20-OCT-14 08.00.00.000000 AM
37|1|12|266030|VM_OUT_BYTES|0||20-OCT-14 08.00.00.000000 AM
37|1|12|266033|NUM_CPU_CORES|12||20-OCT-14 08.00.00.000000 AM
37|1|12|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||20-OCT-14 08.00.00.000000 AM
37|1|12|266023|IOWAIT_TIME|2323.5||20-OCT-14 08.00.00.000000 AM
37|1|12|266024|NICE_TIME|0||20-OCT-14 08.00.00.000000 AM
37|1|12|266027|LOAD|4.5|3.69|20-OCT-14 08.00.00.000000 AM
37|1|12|266034|NUM_CPU_SOCKETS|2||20-OCT-14 08.00.00.000000 AM
37|1|12|266021|BUSY_TIME|7464046.81||20-OCT-14 08.00.00.000000 AM
37|1|12|266022|IDLE_TIME|9316967.31||20-OCT-14 08.00.00.000000 AM
37|1|12|266026|USER_TIME|5877284.31||20-OCT-14 08.00.00.000000 AM
37|1|12|266028|RSRC_MGR_CPU_WAIT_TIME|0||20-OCT-14 08.00.00.000000 AM
37|1|12|266036|GLOBAL_SEND_SIZE_MAX|2097152||20-OCT-14 08.00.00.000000 AM
37|1|12|266038|TCP_RECEIVE_SIZE_MAX|6291456||20-OCT-14 08.00.00.000000 AM
37|1|12|266040|TCP_SEND_SIZE_DEFAULT|16384||20-OCT-14 08.00.00.000000 AM
37|1|12|266042|TCP_SEND_SIZE_MIN|4096||20-OCT-14 08.00.00.000000 AM
37|1|12|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||20-OCT-14 08.00.00.000000 AM
37|1|12|266039|TCP_RECEIVE_SIZE_MIN|4096||20-OCT-14 08.00.00.000000 AM
37|1|9|266039|TCP_RECEIVE_SIZE_MIN|4096||15-OCT-14 08.00.00.000000 AM
37|1|9|266029|VM_IN_BYTES|85504||15-OCT-14 08.00.00.000000 AM
37|1|9|266040|TCP_SEND_SIZE_DEFAULT|16384||15-OCT-14 08.00.00.000000 AM
37|1|9|266023|IOWAIT_TIME|2334||15-OCT-14 08.00.00.000000 AM
37|1|9|266030|VM_OUT_BYTES|0||15-OCT-14 08.00.00.000000 AM
37|1|9|266034|NUM_CPU_SOCKETS|2||15-OCT-14 08.00.00.000000 AM
37|1|9|266021|BUSY_TIME|7465209.38||15-OCT-14 08.00.00.000000 AM
37|1|9|266025|SYS_TIME|1211949.69||15-OCT-14 08.00.00.000000 AM
